question_id,question,answer_id,title,08 - Feminina,09 - Sexy,10 - Trendy,11 - Elegante,12 - Casual,13 - Tradicional,14 - Contemporanea
50,21. Que tipo de acessório mais te agrada?,172,classicos e atemporais,0,10,10,20,0,20,0
50,21. Que tipo de acessório mais te agrada?,173,pecas diferenciadas com toque vintage ou etnico,10,0,20,10,10,0,20
50,21. Que tipo de acessório mais te agrada?,174,pecas grandes e com brilho,0,20,20,20,0,10,0
51,22. Que tipo de salto você prefere?,175,Alto,,,,,,,
51,22. Que tipo de salto você prefere?,177,Baixo,,,,,,,
51,22. Que tipo de salto você prefere?,176,Médio,,,,,,,
51,22. Que tipo de salto você prefere?,178,Rasteirinha,,,,,,,
53,Neutras,191,1,,,,,,,
53,Neutras,192,2,,,,,,,
53,Neutras,193,3,,,,,,,
53,Neutras,194,4,,,,,,,
53,Neutras,195,5,,,,,,,
54,Metalizadas,196,1,,,,,,,
54,Metalizadas,197,2,,,,,,,
54,Metalizadas,198,3,,,,,,,
54,Metalizadas,199,4,,,,,,,
54,Metalizadas,200,5,,,,,,,
55,Tons Pastel,201,1,,,,,,,
55,Tons Pastel,202,2,,,,,,,
55,Tons Pastel,203,3,,,,,,,
55,Tons Pastel,204,4,,,,,,,
55,Tons Pastel,205,5,,,,,,,
56,Vivas,206,1,,,,,,,
56,Vivas,207,2,,,,,,,
56,Vivas,208,3,,,,,,,
56,Vivas,209,4,,,,,,,
56,Vivas,210,5,,,,,,,
